brand,price
acura,8983.533414584603
alfa-romeo,14113.79365079365
aston-martin,47356.37037037037
audi,12341.569921491659
bmw,127230.6227195946
buick,7532.347860791826
cadillac,16367.465443873807
chevrolet,154327.06889099578
chrysler,147948.87504263787
datsun,6342.415094339623
dodge,170835.23706626883
ferrari,102998.5
fiat,9120.601785714285
ford,68027.38852539001
gmc,266211.8687613607
harley-davidson,10787.930693069307
honda,20650.486312792353
hyundai,9000.883569935073
infiniti,11336.876688197299
jaguar,9664.787037037036
jeep,20147.034363922805
kawasaki,3600.15873015873
kia,9311.289307251067
lamborghini,175324.44444444444
land-rover,19586.914248871697
lexus,11758.308346912909
lincoln,40074.84548269068
mazda,7226.0467084639495
mercedes-benz,270846.0023142791
mercury,4340.808449695668
mini,8895.475071633238
mitsubishi,247849.5728353141
morgan,16850.25
mustang,12733.295597484277
nissan,27584.07761765779
oldsmobile,4784.257408975444
pontiac,5324.36139021578
porsche,30738.98390804598
ram,98952.12974744554
saturn,3500.652558676414
scion,15810.925137903861
subaru,10478.067599067599
suzuki,3591.3113839285716
thomas,6611.357142857143
toyota,53832.182825833675
unknown,143955.89338365753
volkswagen,112770.45029736619
volvo,9174.35974590438
yamaha,3831.2987012987014
